Energy PEXsec
0.1000 4.01e6
0.1460 5.90e5
0.1474 1.09e6
0.1500 1.11e6
0.1700 1.19e6
0.2000 1.35e6
0.2073 1.38e6
0.2087 1.59e6
0.3000 1.58e6
0.4000 1.26e6
0.5000 9.63e5
0.6000 7.41e5
0.6767 6.12e5
0.6781 6.90e5
0.7000 5.12e6
0.7500 3.12e6
0.8000 2.64e6
0.9000 2.05e6
0.9570 1.79e6
0.9584 2.35e6
1.0000 2.42e6
1.0720 1.77e6
1.1443 1.54e6
1.1457 1.62e6
1.5000 8.89e5
2.0000 4.59e5
3.0000 1.68e5
4.0000 8.38e4
4.7820 5.37e4
4.7821 1.60e5
5.0000 1.41e5
5.1040 1.34e5
5.2750 1.64e5
5.4530 1.56e5
5.4531 1.88e5
6.0000 1.45e5
8.0000 6.63e4
10.0000 3.62e4
15.0000 1.20e4
20.0000 5.51e3
29.7780 1.87e3
30.0000 1.83e3
34.5600 1.25e3
34.5601 7.54e3
40.0000 5.06e3
50.0000 2.73e3
60.0000 1.64e3
80.0000 7.25e2
100.0000 3.83e2
150.0000 1.20e2
200.0000 5.26e1
300.0000 1.87e1
400.0000 7.48
500.0000 4.07
600.0000 2.49
800.0000 1.18
1000.0000 6.68e-1
